Store,Id,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,month,year,day
1,1,4,17/09/2015,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,17
1,857,3,16/09/2015,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,16
1,1713,2,15/09/2015,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,15
1,2569,1,14/09/2015,1,1,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,14
1,3425,7,13/09/2015,0,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,13
1,4281,6,12/09/2015,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,12
1,5137,5,11/09/2015,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,11
1,5993,4,10/09/2015,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,10
1,6849,3,09/09/2015,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,9
1,7705,2,08/09/2015,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,8
1,8561,1,07/09/2015,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,7
1,9417,7,06/09/2015,0,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,6
1,10273,6,05/09/2015,1,0,0,0,c,a,1270,9,2008,0,NA,NA,,9,15,5
1,11129,5,04/09/2015,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,9,15,4
1,11985,4,03/09/2015,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,9,15,3
1,12841,3,02/09/2015,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,9,15,2
1,13697,2,01/09/2015,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,9,15,1
1,14553,1,31/08/2015,1,1,0,1,c,a,1270,9,2008,0,NA,NA,,8,15,31
1,15409,7,30/08/2015,0,0,0,1,c,a,1270,9,2008,0,NA,NA,,8,15,30
1,16265,6,29/08/2015,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,8,15,29
1,17121,5,28/08/2015,1,0,0,1,c,a,1270,9,2008,0,NA,NA,,8,15,28
